,close,date,high,low,open,volume
300,725.0,2018-10-25 11:45:00+05:30,725.0,700.0,700.0,75
301,725.0,2018-10-25 12:00:00+05:30,725.0,725.0,725.0,0
302,725.0,2018-10-25 12:15:00+05:30,725.0,725.0,725.0,0
303,725.0,2018-10-25 12:30:00+05:30,725.0,725.0,725.0,0
304,725.0,2018-10-25 12:45:00+05:30,725.0,725.0,725.0,0
305,700.0,2018-10-25 13:00:00+05:30,725.0,700.0,725.0,450
306,700.0,2018-10-25 13:15:00+05:30,700.0,700.0,700.0,0
307,700.0,2018-10-25 13:30:00+05:30,700.0,700.0,700.0,0
308,700.0,2018-10-25 13:45:00+05:30,700.0,700.0,700.0,0
309,700.0,2018-10-25 14:00:00+05:30,700.0,700.0,700.0,0
310,700.0,2018-10-25 14:15:00+05:30,700.0,700.0,700.0,0
311,700.0,2018-10-25 14:30:00+05:30,700.0,700.0,700.0,0
312,700.0,2018-10-25 14:45:00+05:30,700.0,700.0,700.0,0
313,700.0,2018-10-25 15:00:00+05:30,700.0,700.0,700.0,0
314,700.0,2018-10-25 15:15:00+05:30,700.0,700.0,700.0,0
315,785.5,2018-10-26 13:00:00+05:30,785.5,785.5,785.5,300
316,785.5,2018-10-26 13:15:00+05:30,785.5,785.5,785.5,0
317,785.5,2018-10-26 13:30:00+05:30,785.5,785.5,785.5,0
318,780.0,2018-10-26 13:45:00+05:30,795.0,779.95,785.5,675
319,780.0,2018-10-26 14:00:00+05:30,780.0,780.0,780.0,0
320,780.0,2018-10-26 14:15:00+05:30,780.0,780.0,780.0,0
321,780.0,2018-10-26 14:30:00+05:30,780.0,780.0,780.0,0
322,780.0,2018-10-26 14:45:00+05:30,780.0,780.0,780.0,0
323,780.0,2018-10-26 15:00:00+05:30,780.0,780.0,780.0,0
324,780.0,2018-10-26 15:15:00+05:30,780.0,780.0,780.0,0
325,618.0,2018-10-30 10:30:00+05:30,618.0,612.0,612.0,150
326,620.0,2018-10-30 10:45:00+05:30,620.0,618.0,618.0,75
327,620.0,2018-10-30 11:00:00+05:30,620.0,620.0,620.0,0
328,620.0,2018-10-30 11:15:00+05:30,620.0,620.0,620.0,0
329,620.0,2018-10-30 11:30:00+05:30,620.0,620.0,620.0,0
330,620.0,2018-10-30 11:45:00+05:30,620.0,620.0,620.0,0
331,620.0,2018-10-30 12:00:00+05:30,620.0,620.0,620.0,0
332,620.0,2018-10-30 12:15:00+05:30,620.0,620.0,620.0,0
333,620.0,2018-10-30 12:30:00+05:30,620.0,620.0,620.0,0
334,620.0,2018-10-30 12:45:00+05:30,620.0,620.0,620.0,0
335,620.0,2018-10-30 13:00:00+05:30,620.0,620.0,620.0,0
336,620.0,2018-10-30 13:15:00+05:30,620.0,620.0,620.0,0
337,620.0,2018-10-30 13:30:00+05:30,620.0,620.0,620.0,0
