,close,dateTime,Date,high,low,open,volume,,Close,high,low,open,volume,Straddle,,High,Low,open Call,Open Put,Straddle open,Close call,Close Put,Straddle Close,,TP,SL,1.05,0.95,
,93.4,2018-12-06 13:15:00+05:30,06-12-2018,99.4,91.35,95.9,304500,,283,285.65,267.4,279.1,159225,,376.4,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,16
,85.75,2018-12-06 13:30:00+05:30,06-12-2018,93.8,83.75,93.75,359850,,301,307.2,281.2,281.9,86400,,386.75,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,17
,81.9,2018-12-06 13:45:00+05:30,06-12-2018,87,79.65,85.6,399375,,314.45,320.8,294.65,301,39300,,396.35,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,18
,80.7,2018-12-06 14:00:00+05:30,06-12-2018,83.65,79.2,81.25,262725,,316.25,318.9,305,315.9,30825,,396.95,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,19
,75,2018-12-06 14:15:00+05:30,06-12-2018,80.75,74.85,80.7,367050,,327.45,327.45,316.2,317.15,149550,,402.45,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,20
,73.85,2018-12-06 14:30:00+05:30,06-12-2018,76.95,71.9,74.95,388800,,330,338.6,318,327.45,101625,,403.85,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,21
,72.4,2018-12-06 14:45:00+05:30,06-12-2018,76.9,71.2,73.75,293925,,332.85,335.9,318.8,328.8,69000,,405.25,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,22
,69.55,2018-12-06 15:00:00+05:30,06-12-2018,74,68.15,72.3,429825,,341.7,344,327.4,332.85,65250,,411.25,TRUE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,23
,65.1,2018-12-06 15:15:00+05:30,06-12-2018,70,64.7,69.55,582300,,343.05,348.9,333.7,341.7,114450,,408.15,FALSE,FALSE,102.9,245.65,348.55,65.1,343.05,408.15,,365.9775,331.1225,1,1,24
,78,2018-12-07 09:15:00+05:30,07-12-2018,78.15,73.35,77.85,632625,,304.3,322.05,297.2,299.7,134400,,382.3,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,75.75,2018-12-07 09:30:00+05:30,07-12-2018,81.75,74.65,77.6,383550,,308,310.3,295.05,304.3,175125,,383.75,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,74.9,2018-12-07 09:45:00+05:30,07-12-2018,78.15,74.2,75.55,218325,,315.25,315.8,302,308,133800,,390.15,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
